trial,timestamp,x,y,duration,eventType
1,8942,1010.0852837618768,440.96380649444114,110,raw
1,9032,1009.9423863719899,455.14586307696464,90,raw
1,9128,994.0009790476394,433.05157555655506,96,raw
1,9237,1017.8198680306336,440.6828661664958,109,raw
1,9329,1081.7756088135047,429.8713262469121,92,raw
1,9441,1120.8205787875368,446.0212398285496,112,raw
1,9536,1244.71413113387,381.517857302589,95,raw
1,9645,1233.0023954918775,442.5202723544862,109,raw
1,9732,1220.9324047587033,485.35041325046996,87,raw
1,9840,1198.8450380926788,509.9112581892983,108,raw
1,9943,1183.5466528471145,523.1606120319578,103,raw
1,10037,1198.2940302836369,496.6269625363452,94,raw
1,10136,1235.6753933699395,449.2722230048683,99,raw
1,10228,1232.5353445998276,476.9437320008573,92,raw
1,10323,1186.9011029121552,528.1616492519994,95,raw
1,10442,1121.40641595398,572.159084053446,119,raw
1,10531,1057.5363020869495,587.4380369411548,89,raw
1,10631,1058.7605730984883,580.8397636992264,100,raw
1,10738,1062.8849377043239,545.9330508828439,107,raw
1,10833,1074.9430509777058,529.4472670097682,95,raw
1,10943,1063.6138207222352,528.0857495638103,110,raw
1,11036,1078.0831107312492,502.23709243073466,93,raw
